@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute left_hit {0,1,2}
@attribute left_type {0,1,2,3}
@attribute left_pos numeric
@attribute right_hit {0,1,2}
@attribute right_type {0,1,2,3}
@attribute right_pos numeric
@attribute kick {0,1,2}

@data
11,'2019/04/12 13:33:00:149',7,16309352448,27912740864,26420205568,20921167872,21694943232,25199226880,3611422464,4472041984,31872487424,27585447936,4756659712,3926228992,22481489920,16159641600,5765919232,2538148608,11297895424,11177350144,10290380800,2984011008,19027326976,20641816576,8912231424,1017820160,8013961728,5439885312,5238294528,4299946496,28456876032,23258138624,10683895808,3911966208,32212252672,32212252672,14435076096,8396210176,32212252672,32212252672,8699257856,8342141952,0,0,0,?,1,0,?,?,?,?
12,'2019/04/12 13:33:00:411',7,16552341504,27931435008,25434138624,20773171200,22513799168,25385181184,3680004608,4283733760,31857334272,27712356352,4847635968,3825518592,21845567488,15376903168,5932561408,2661609728,11791492096,11394368512,11662507008,3668486400,20109111296,22413510656,10154995712,1711846144,8007430144,5720681984,5241563648,4976395776,28126500864,23206774784,10861648896,3868936192,32212252672,32212252672,14664054784,8141518848,32212252672,32212252672,8802742272,8512998912,0,0,0,?,1,0,?,?,?,?
13,'2019/04/12 13:33:00:645',7,16519705600,27948810240,26040238080,20936845312,22088460288,25369497600,3683140864,4370369536,31857516544,27732996096,4844018176,3847520000,21565116416,15258648576,5926755328,2739523584,11730143232,11533842432,11193263104,3704658688,19606087680,22245371904,10048479232,1697805824,7915913216,5604125184,5040321024,5495645696,28614232064,23394711552,11118886912,4276596992,32212252672,32212252672,14807369728,8165906944,32212252672,32212252672,8756088832,8451310592,0,0,0,?,1,0,?,?,?,?
14,'2019/04/12 13:33:00:898',7,16662517760,28096311296,24751618048,20181897216,23401275392,25604036608,3634870016,4263593472,31845308416,27725111296,4876032000,3888630016,20590082048,14573040640,6065048064,2748817920,12159035392,11817174016,11244683264,3682934272,19762536448,22194829312,9828731904,1732759424,7934373376,5628185600,5390998016,5684554752,29245751296,24216295424,11281830912,4129570816,32212252672,32212252672,14815376384,8003554304,32212252672,32212252672,8764423168,8460013056,0,0,0,?,1,0,?,?,?,?
15,'2019/04/12 13:33:01:148',7,16874638336,28256800768,24325502976,19944136704,24009322496,25783670784,3569958400,4206590976,31884967936,27710257152,4825229824,3646629120,18927259648,13280559104,6379950080,2927127552,12983497728,12677920768,11448281088,3681884160,19848003584,21719668736,9339277312,1675336192,8420205056,5957754368,6154194432,6027513856,30559465472,25712678912,11500136448,3899255552,32212252672,32212252672,14944620544,8393088000,32212252672,32212252672,8745845760,8434622464,0,0,0,?,1,0,?,?,?,?
16,'2019/04/12 13:33:01:398',7,16937401344,28341710848,24916834304,20438355968,23712868352,25843980288,3625688832,4296401920,31993729024,27806879744,4912485376,3739117312,17757851648,12529602560,6655695360,3024118528,13318702080,13410091008,11076245504,3754974976,18754500608,20543885312,8963715072,1577416192,10045138944,6894403072,7064479744,6369656320,31370438656,26522871808,11695902720,4060169216,32212252672,32212252672,15144217600,8125677056,32212252672,32212252672,8845204480,8515040768,0,0,0,?,1,0,?,?,?,?
17,'2019/04/12 13:33:01:648',7,17030977536,28433000448,25195687936,19846094848,23442386944,25895929856,3612408064,3313192192,31958501376,27772190720,4871905280,3026984192,18008160256,12473565184,6721120768,2860072704,13433462784,14577602560,18340794368,3209578496,18618626048,26327164928,29560664064,7305376768,10467764224,12860773376,31024197632,28568686592,31443816448,27634368512,16504492032,15471704064,32212252672,32212252672,14688424960,7449081344,32212252672,32212252672,8957289472,8790686720,0,0,0,?,1,0,?,?,?,?
18,'2019/04/12 13:33:01:898',7,12584433664,23776167936,25388867584,18287515648,15896451072,20015867904,1762752768,1369125888,25096083456,22049622016,3137979136,862515200,14501870592,9652046848,3987085056,1140884352,28301639680,13847948288,5946045440,877227072,28134258688,23091398656,7994311168,75286976,19608049664,28598884352,20103632896,1624538624,28842246144,25587783680,5654467584,5169285120,30632294400,31897688064,11410980864,6711341568,31473209344,32189042688,6476481536,5294879232,0,0,0,?,1,0,?,?,?,?
19,'2019/04/12 13:33:02:147',7,11030412288,21322301440,23090282496,16727221248,14126993408,17853026304,1215422464,863209280,22319515648,19590084608,2604550912,488999296,24309129216,7088654848,2928316928,718853888,23209906176,12395849728,4288043776,428466304,20012218368,27585363968,9995277312,27972916,7518693376,11048011776,8938902528,1064434752,26175741952,23911417856,3976762880,4434383872,27424806912,28896692224,9864117248,6381007872,28302000128,29916659712,5193892864,4288571648,0,0,0,?,1,0,?,?,?,?
20,'2019/04/12 13:33:02:396',7,11476043776,21508096000,21297164288,15665490944,15807257600,17984653312,1200961920,964128000,22604220416,19712550912,2660706816,553360384,8847986688,4843420160,2983169536,774018624,10570493952,9709542400,4244552960,473261440,29433661440,9488890880,1780277248,64667828,25084282880,9983669248,3679548928,1208874496,29428416512,26713532416,13252809728,447628512,27779584000,29925384192,10853318656,4824574976,28529063936,30110820352,5268565504,5330384896,0,0,0,?,1,0,?,?,?,?
21,'2019/04/12 13:33:02:647',7,12638430208,23354814464,22648516608,16485195776,17344892928,19524059136,1486946304,1280724096,24363440128,21309601792,2956121600,865515584,9238310912,5232456704,3315138816,847389056,11529994240,11611025408,5804201984,572086144,6924187648,8925654016,2607299840,131728600,12508327936,6354769408,5319757312,2385138432,28758134784,27546320896,4649203712,697105792,32090562560,26458798080,7899494912,505570752,31294593024,17178463232,13393811456,2702359296,0,0,0,?,1,0,?,?,?,?
22,'2019/04/12 13:33:02:899',7,17157320704,28681035776,25137002496,20064636928,23368357888,26014978048,3362753024,3402368256,31905914880,27719798784,4832573952,2631620096,13448075264,8418924032,6590254592,2563681536,16334965760,16832130048,10478859264,2280382208,11824690176,15275174912,6542781440,976927616,16715013120,9579672576,8079362560,5399139328,32175144960,29597974528,10003818496,2570006272,32212252672,32212252672,15179878400,7377454592,32212252672,32212252672,9319321600,7744976896,0,0,0,?,1,0,?,?,?,?
23,'2019/04/12 13:33:03:145',7,17122174976,28999960576,27811295232,22086074368,21437054976,25874049024,3667462400,4404990464,32055586816,27883673600,5019567616,3458676992,14635513856,9461226496,7179774976,3480522240,15610949632,15697011712,10488498176,3703250176,13472128000,16840144896,7186261504,1463250688,14976437248,8837673984,7203812352,5799476224,32063547392,28457398272,11428334592,3518170624,32212252672,32212252672,15873553408,11299397632,32212252672,32212252672,9455844352,14910706688,0,0,0,?,1,0,?,?,?,?
24,'2019/04/12 13:33:03:396',7,17235058688,29164320768,27516588032,21512030208,22317385728,26224224256,3753577472,4036897024,32062730240,27887659008,5008744960,3681058816,15674982400,10284575744,7144404480,3628429824,15061862400,15643061248,10760716288,3345371136,15046500352,18083543040,9182618624,10034226176,13592185856,8890162176,16537900032,31635898368,31963357184,28111988736,19915012096,29060374528,32212252672,32212252672,21065719808,28044650496,32212252672,32212252672,9335281664,9492772864,0,0,0,?,1,0,?,?,?,?
25,'2019/04/12 13:33:03:649',7,16885191680,29628954624,30117556224,20024596480,20452171776,26049286144,5921251328,19569047552,31885008896,27753476096,9886577664,31215067136,15758275584,10267669504,13158293504,30462793728,14988366848,15742006272,11436509184,19173654528,15129938944,18129465344,7204866048,2721584384,13528031232,8841099264,8087567872,5210315264,31990204416,28212293632,10571386880,4398999552,32212252672,32212252672,15623970816,10439359488,32212252672,32212252672,8881215488,8553231872,0,0,0,?,1,0,?,?,?,?
