@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute drum-1 numeric
@attribute outputs-1 {0,1,2}

@data
130,'2019/04/03 15:53:35:086',2,0,1
131,'2019/04/03 15:53:35:176',2,0,1
132,'2019/04/03 15:53:35:254',2,0,1
133,'2019/04/03 15:53:36:070',2,0,1
134,'2019/04/03 15:53:36:148',2,0,1
135,'2019/04/03 15:53:36:226',2,0,1
136,'2019/04/03 15:53:36:304',2,0,1
137,'2019/04/03 15:53:36:382',2,0,1
138,'2019/04/03 15:53:36:460',2,0,1
139,'2019/04/03 15:53:36:538',2,0,1
140,'2019/04/03 15:53:36:616',2,0,1
141,'2019/04/03 15:53:36:694',2,0,1
142,'2019/04/03 15:53:36:772',2,0,1
143,'2019/04/03 15:53:36:850',2,0,1
144,'2019/04/03 15:53:36:928',2,0,1
145,'2019/04/03 15:53:37:007',2,0,1
146,'2019/04/03 15:53:37:084',2,0,1
147,'2019/04/03 15:53:37:162',2,0,1
148,'2019/04/03 15:53:37:240',2,0,1
149,'2019/04/03 15:53:37:318',2,0,1
150,'2019/04/03 15:53:37:396',2,0,1
151,'2019/04/03 15:53:37:474',2,0,1
152,'2019/04/03 15:53:37:552',2,0,1
153,'2019/04/03 15:53:37:630',2,0,1
154,'2019/04/03 15:53:37:708',2,0,1
155,'2019/04/03 15:53:37:786',2,0,1
156,'2019/04/03 15:53:37:864',2,0,1
157,'2019/04/03 15:53:37:942',2,0,1
158,'2019/04/03 15:53:38:021',2,0,1
159,'2019/04/03 15:53:38:098',2,0,1
160,'2019/04/03 15:53:38:176',2,0,1
161,'2019/04/03 15:53:38:254',2,0,1
162,'2019/04/03 15:53:38:332',2,0,1
163,'2019/04/03 15:53:38:410',2,0,1
164,'2019/04/03 15:53:38:488',2,0,1
165,'2019/04/03 15:53:38:566',2,0,1
166,'2019/04/03 15:53:38:644',2,0,1
167,'2019/04/03 15:53:38:722',2,0,1
168,'2019/04/03 15:53:38:800',2,0,1
169,'2019/04/03 15:53:38:878',2,0,1
170,'2019/04/03 15:53:38:956',2,0,1
171,'2019/04/03 15:53:39:034',2,0,1
172,'2019/04/03 15:53:39:112',2,0,1
173,'2019/04/03 15:53:39:190',2,0,1
174,'2019/04/03 15:53:39:268',2,0,1
175,'2019/04/03 15:53:39:346',2,0,1
176,'2019/04/03 15:53:39:424',2,0,1
177,'2019/04/03 15:53:39:502',2,0,1
178,'2019/04/03 15:53:39:580',2,0,1
179,'2019/04/03 15:53:39:658',2,0,1
180,'2019/04/03 15:53:39:735',2,0,1
181,'2019/04/03 15:53:39:813',2,0,1
182,'2019/04/03 15:53:39:891',2,0,1
183,'2019/04/03 15:53:39:970',2,0,1
184,'2019/04/03 15:53:40:048',2,0,1
185,'2019/04/03 15:53:40:125',2,0,1
186,'2019/04/03 15:53:40:210',2,0,1
187,'2019/04/03 15:53:40:282',2,0,1
188,'2019/04/03 15:53:40:359',2,0,1
189,'2019/04/03 15:53:40:450',2,0,1
190,'2019/04/03 15:53:40:539',2,0,1
191,'2019/04/03 15:53:40:629',2,0,1
192,'2019/04/03 15:53:40:707',2,0,1
193,'2019/04/03 15:53:40:791',2,0,1
194,'2019/04/03 15:53:40:882',2,0,1
195,'2019/04/03 15:53:40:965',2,0,1
196,'2019/04/03 15:53:41:043',2,0,1
197,'2019/04/03 15:53:41:127',2,0,1
198,'2019/04/03 15:53:41:211',2,0,1
199,'2019/04/03 15:53:41:295',2,0,1
200,'2019/04/03 15:53:41:379',2,0,1
201,'2019/04/03 15:53:41:458',2,0,1
202,'2019/04/03 15:53:41:541',2,0,1
203,'2019/04/03 15:53:41:626',2,0,1
204,'2019/04/03 15:53:41:709',2,0,1
205,'2019/04/03 15:53:41:794',2,0,1
206,'2019/04/03 15:53:41:871',2,0,1
207,'2019/04/03 15:53:41:962',2,0,1
208,'2019/04/03 15:53:42:039',2,0,1
209,'2019/04/03 15:53:42:123',2,0,1
210,'2019/04/03 15:53:42:213',2,0,1
211,'2019/04/03 15:53:42:298',2,0,1
212,'2019/04/03 15:53:42:387',2,0,1
213,'2019/04/03 15:53:42:472',2,0,1
214,'2019/04/03 15:53:42:556',2,0,1
215,'2019/04/03 15:53:42:634',2,0,1
216,'2019/04/03 15:53:42:723',2,0,1
217,'2019/04/03 15:53:42:819',2,0,1
218,'2019/04/03 15:53:42:898',2,0,1
219,'2019/04/03 15:53:42:975',2,0,1
220,'2019/04/03 15:53:43:053',2,0,1
221,'2019/04/03 15:53:43:131',2,0,1
222,'2019/04/03 15:53:43:210',2,0,1
223,'2019/04/03 15:53:43:287',2,0,1
224,'2019/04/03 15:53:43:365',2,0,1
225,'2019/04/03 15:53:43:443',2,0,1
226,'2019/04/03 15:53:43:522',2,0,1
227,'2019/04/03 15:53:43:606',2,0,1
228,'2019/04/03 15:53:43:690',2,0,1
229,'2019/04/03 15:53:43:773',2,0,1
230,'2019/04/03 15:53:43:857',2,0,1
231,'2019/04/03 15:53:43:935',2,0,1
232,'2019/04/03 15:53:44:026',2,0,1
233,'2019/04/03 15:53:44:103',2,0,1
234,'2019/04/03 15:53:44:193',2,0,1
235,'2019/04/03 15:53:44:277',2,0,1
236,'2019/04/03 15:53:44:349',2,0,1
237,'2019/04/03 15:53:44:427',2,0,1
238,'2019/04/03 15:53:44:499',2,0,1
239,'2019/04/03 15:53:44:571',2,0,1
240,'2019/04/03 15:53:44:649',2,0,1
241,'2019/04/03 15:53:44:727',2,0,1
242,'2019/04/03 15:53:44:811',2,0,1
243,'2019/04/03 15:53:44:889',2,0,1
244,'2019/04/03 15:53:44:973',2,0,1
245,'2019/04/03 15:53:45:051',2,0,1
246,'2019/04/03 15:53:45:141',2,0,1
247,'2019/04/03 15:53:45:225',2,0,1
248,'2019/04/03 15:53:45:316',2,0,1
249,'2019/04/03 15:53:45:400',2,0,1
250,'2019/04/03 15:53:45:489',2,0,1
251,'2019/04/03 15:53:45:573',2,0,1
252,'2019/04/03 15:53:45:663',2,0,1
253,'2019/04/03 15:53:45:759',2,0,1
254,'2019/04/03 15:53:45:837',2,0,1
255,'2019/04/03 15:53:45:921',2,0,1
256,'2019/04/03 15:53:45:999',2,0,1
